age,sexual_attraction_M,sexual_attraction_F,gender_identity_M,gender_identity_F,education_level,sex,handedness,religious_upbringing,religious_now,background_SES,dis-score,score
22.0,7.0,1.0,1.0,7.0,2,0,1,0,1,2.0,0.9709,146160.0
21.75,7.0,1.0,2.0,7.0,2,0,1,0,0,5.5,0.9789,214800.0
25.25,6.0,3.0,1.0,6.0,0,0,1,0,0,3.0,0.9821,262800.0
22.5,6.0,2.0,1.0,7.0,0,0,1,1,0,5.0,0.9134,37680.0
22.25,1.0,7.0,6.0,1.0,0,1,1,0,0,4.5,0.0,0.0
24.75,7.0,1.0,1.0,7.0,2,0,1,0,0,2.5,0.2673,720.0
20.25,,,,,2,1,0,1,0,4.0,0.7747,10080.0
20.5,,,,,2,0,1,1,1,2.0,0.0,0.0
26.0,,,,,0,1,1,1,1,2.0,0.9311,50400.0
22.0,1.0,7.0,6.0,1.0,2,1,0,0,0,2.0,0.9578,92880.0
25.25,,,,,2,1,1,0,0,3.0,0.0,0.0
20.75,1.0,7.0,7.0,1.0,0,1,1,0,0,4.5,0.0,0.0
23.5,1.0,7.0,7.0,1.0,2,1,1,1,1,2.0,0.7209,7200.0
21.5,2.0,7.0,6.0,1.0,0,1,1,1,0,4.0,0.9702,141840.0
22.0,,,,,0,1,0,0,0,3.5,0.0,0.0
20.5,1.0,7.0,7.0,1.0,2,1,1,0,0,3.5,0.0,0.0
24.0,,,,,2,1,1,0,0,4.0,0.0,0.0
20.5,2.0,6.0,7.0,1.0,0,1,1,0,0,6.0,0.9809,241920.0
22.5,,,,,0,0,1,0,0,4.5,0.0,0.0
20.25,6.0,2.0,1.0,7.0,2,0,1,0,0,2.0,0.9643,113760.0
22.75,1.0,7.0,7.0,1.0,0,1,1,0,0,5.0,0.0,0.0
23.5,7.0,1.0,2.0,6.0,0,0,1,0,0,3.0,0.8977,30360.0
24.75,,,,,0,0,1,0,0,4.5,0.0,0.0
23.75,1.0,7.0,7.0,1.0,0,1,1,1,0,3.5,0.6314,4440.0
23.0,,,,,0,0,1,0,0,3.5,0.0,0.0
20.75,,,,,2,0,1,0,0,4.5,0.0,0.0
23.25,,,,,0,1,1,0,0,5.0,0.0,0.0
24.0,,,,,0,0,1,0,0,5.0,0.0,0.0
25.75,1.0,7.0,6.0,2.0,0,1,1,0,0,5.0,0.7025,6480.0
22.75,,,,,0,1,0,0,0,4.0,0.0737,120.0
24.75,,,,,0,0,1,1,1,4.5,0.0,0.0
23.0,5.0,3.0,1.0,7.0,0,0,1,0,0,4.5,0.8611,20160.0
25.75,,,,,2,0,0,0,0,4.0,0.8347,15840.0
23.75,1.0,7.0,5.0,2.0,2,1,1,0,0,3.5,0.9589,95880.0
21.25,7.0,1.0,1.0,7.0,0,0,1,0,0,4.5,0.0737,120.0
20.5,6.0,2.0,1.0,6.0,0,0,0,1,0,5.5,0.9882,433440.0
24.25,,,,,2,0,1,0,0,2.5,0.0,0.0
20.0,1.0,7.0,6.0,2.0,2,1,1,1,0,3.0,0.8272,14880.0
22.25,,,,,2,1,0,1,0,4.0,0.3967,1440.0
25.0,,,,,2,0,1,0,0,2.5,0.0,0.0
24.75,1.0,7.0,6.0,2.0,1,1,1,0,0,4.5,0.9286,48240.0
23.75,1.0,1.0,7.0,1.0,2,1,0,1,1,2.0,0.9934,866160.0
25.25,,,,,0,0,1,1,0,5.0,0.0737,120.0
22.5,,,,,0,0,1,1,1,5.0,0.0,0.0
20.0,1.0,7.0,7.0,1.0,2,1,1,0,0,3.5,0.0,0.0
20.25,,,,,2,1,1,0,0,3.5,0.0,0.0
21.75,6.0,3.0,1.0,7.0,2,0,1,0,0,4.5,0.9745,171360.0
21.0,,,,,0,1,1,0,0,6.0,0.0,0.0
23.75,7.0,7.0,1.0,6.0,0,0,1,0,0,5.0,0.9777,201600.0
22.5,,,,,0,0,1,1,0,5.0,0.0,0.0
23.25,,,,,0,0,1,0,0,5.0,0.0,0.0
22.5,6.0,2.0,1.0,7.0,0,0,1,0,0,6.0,0.0,0.0
21.25,,,,,0,1,1,0,0,3.5,0.3967,1440.0
21.5,1.0,7.0,7.0,1.0,2,1,0,0,0,4.5,0.8646,20880.0
22.25,,,,,2,1,0,0,0,2.5,0.0,0.0
20.0,2.0,7.0,5.0,3.0,2,1,1,0,1,2.0,0.9967,1920240.0
24.75,1.0,7.0,7.0,1.0,2,1,1,1,0,5.0,0.3967,1440.0
24.5,1.0,7.0,5.0,2.0,2,1,1,0,0,4.0,0.9763,187200.0
24.25,1.0,7.0,7.0,1.0,1,1,1,0,0,3.5,0.0,0.0
24.25,,,,,0,1,1,0,0,3.0,0.0,0.0
25.75,7.0,1.0,1.0,7.0,2,0,1,1,1,3.0,0.0,0.0
20.25,7.0,1.0,1.0,7.0,0,0,0,0,0,2.0,0.9581,93600.0
23.25,1.0,7.0,7.0,1.0,2,1,1,0,0,3.0,0.0,0.0
22.5,5.0,3.0,1.0,6.0,2,0,1,0,0,4.5,0.9821,262080.0
20.5,,,,,1,0,1,0,0,2.0,0.6561,5040.0
23.25,1.0,7.0,7.0,1.0,0,1,1,0,0,6.0,0.0,0.0
21.0,7.0,1.0,1.0,6.0,0,0,1,0,0,5.0,0.0,0.0
20.5,1.0,7.0,5.0,1.0,2,1,1,0,0,3.5,0.9374,56880.0
23.5,,,,,0,0,1,1,1,2.0,0.0,0.0
23.75,,,,,2,0,0,1,1,3.0,0.0,0.0
21.0,1.0,7.0,5.0,1.0,0,1,1,1,0,6.0,0.9814,249840.0
