Combination,Unique Rows,Unique Rows Excluding Columns,Score
"age, sexual_attraction_F",43,252,6.1395348837209305
"age, background_SES",30,143,12.433333333333334
"age, sexual_attraction_M",39,257,6.641025641025641
"age, gender_identity_M",37,240,7.45945945945946
"age, sex",2,268,124.0
"age, education_level",7,212,43.42857142857143
"age, gender_identity_F",36,228,8.0
"age, handedness",3,251,88.33333333333333
"age, religious_upbringing",2,228,144.0
"age, religious_now",2,239,138.5
"sexual_attraction_F, background_SES",11,371,13.181818181818182
"sexual_attraction_F, sexual_attraction_M",4,497,4.75
"sexual_attraction_F, gender_identity_M",13,507,0.6923076923076923
"sexual_attraction_F, sex",0,515,inf
"sexual_attraction_F, education_level",0,470,inf
"sexual_attraction_F, gender_identity_F",11,511,0.45454545454545453
"sexual_attraction_F, handedness",1,507,9.0
"sexual_attraction_F, religious_upbringing",0,499,inf
"sexual_attraction_F, religious_now",0,505,inf
"background_SES, sexual_attraction_M",5,375,28.2
"background_SES, gender_identity_M",6,350,27.666666666666668
"background_SES, sex",0,385,inf
"background_SES, education_level",0,302,inf
"background_SES, gender_identity_F",8,351,20.625
"background_SES, handedness",0,353,inf
"background_SES, religious_upbringing",0,352,inf
"background_SES, religious_now",1,353,163.0
"sexual_attraction_M, gender_identity_M",13,510,0.46153846153846156
"sexual_attraction_M, sex",1,516,0.0
"sexual_attraction_M, education_level",1,475,41.0
"sexual_attraction_M, gender_identity_F",10,512,0.4
"sexual_attraction_M, handedness",1,506,10.0
"sexual_attraction_M, religious_upbringing",1,500,16.0
"sexual_attraction_M, religious_now",0,506,inf
"gender_identity_M, sex",1,510,6.0
"gender_identity_M, education_level",0,468,inf
"gender_identity_M, gender_identity_F",7,500,2.2857142857142856
"gender_identity_M, handedness",1,502,14.0
"gender_identity_M, religious_upbringing",1,490,26.0
"gender_identity_M, religious_now",1,498,18.0
"sex, education_level",0,480,inf
"sex, gender_identity_F",5,514,0.4
"sex, handedness",0,508,inf
"sex, religious_upbringing",0,502,inf
"sex, religious_now",0,506,inf
"education_level, gender_identity_F",4,474,10.5
"education_level, handedness",0,460,inf
"education_level, religious_upbringing",0,455,inf
"education_level, religious_now",0,460,inf
"gender_identity_F, handedness",2,506,5.0
"gender_identity_F, religious_upbringing",1,496,20.0
"gender_identity_F, religious_now",1,505,11.0
"handedness, religious_upbringing",0,494,inf
"handedness, religious_now",0,498,inf
"religious_upbringing, religious_now",0,462,inf
"age, sexual_attraction_F, background_SES",262,112,1.5419847328244274
"age, sexual_attraction_F, sexual_attraction_M",90,195,3.566666666666667
"age, sexual_attraction_F, gender_identity_M",119,223,2.46218487394958
"age, sexual_attraction_F, sex",69,252,3.8260869565217392
"age, sexual_attraction_F, education_level",108,185,3.064814814814815
"age, sexual_attraction_F, gender_identity_F",125,209,2.456
"age, sexual_attraction_F, handedness",69,231,4.130434782608695
