Combination,Unique Rows,Unique Rows Excluding Columns,Score
"Race, EduYrsEstCap, HandednessScore",86,456,-0.03488372093023256
"Race, EduYrsEstCap, EduComp",28,453,0.0
"Race, EduYrsEstCap, Sex",36,453,0.0
"Race, EduYrsEstCap, Ethnicity",30,453,0.0
"Race, EduYrsEstCap, Height_W1",116,453,0.0
"Race, EduYrsEstCap, AgeMRI_W1",213,430,0.107981220657277
"Race, EduYrsEstCap, Weight_W1",221,453,0.0
"Race, EduYrsEstCap, BMI_W1",399,453,0.0
"Race, HandednessScore, EduComp",76,456,-0.039473684210526314
"Race, HandednessScore, Sex",47,456,-0.06382978723404255
"Race, HandednessScore, Ethnicity",33,456,-0.09090909090909091
"Race, HandednessScore, Height_W1",133,456,-0.022556390977443608
"Race, HandednessScore, AgeMRI_W1",253,404,0.19367588932806323
"Race, HandednessScore, Weight_W1",241,456,-0.012448132780082987
"Race, HandednessScore, BMI_W1",412,456,-0.007281553398058253
"Race, EduComp, Sex",21,453,0.0
"Race, EduComp, Ethnicity",17,453,0.0
"Race, EduComp, Height_W1",87,453,0.0
"Race, EduComp, AgeMRI_W1",169,439,0.08284023668639054
"Race, EduComp, Weight_W1",201,453,0.0
"Race, EduComp, BMI_W1",375,453,0.0
"Race, Sex, Ethnicity",3,453,0.0
"Race, Sex, Height_W1",47,453,0.0
"Race, Sex, AgeMRI_W1",76,434,0.25
"Race, Sex, Weight_W1",124,453,0.0
"Race, Sex, BMI_W1",282,453,0.0
"Race, Ethnicity, Height_W1",47,453,0.0
"Race, Ethnicity, AgeMRI_W1",56,439,0.25
"Race, Ethnicity, Weight_W1",109,453,0.0
"Race, Ethnicity, BMI_W1",272,453,0.0
"Race, Height_W1, AgeMRI_W1",324,439,0.043209876543209874
"Race, Height_W1, Weight_W1",277,453,0.0
"Race, Height_W1, BMI_W1",277,453,0.0
"Race, AgeMRI_W1, Weight_W1",415,439,0.033734939759036145
"Race, AgeMRI_W1, BMI_W1",452,439,0.030973451327433628
"Race, Weight_W1, BMI_W1",277,449,0.01444043321299639
"EduYrsEstCap, HandednessScore, EduComp",56,454,-0.017857142857142856
"EduYrsEstCap, HandednessScore, Sex",82,456,-0.036585365853658534
"EduYrsEstCap, HandednessScore, Ethnicity",55,456,-0.05454545454545454
"EduYrsEstCap, HandednessScore, Height_W1",272,456,-0.011029411764705883
"EduYrsEstCap, HandednessScore, AgeMRI_W1",382,391,0.16230366492146597
"EduYrsEstCap, HandednessScore, Weight_W1",357,456,-0.008403361344537815
"EduYrsEstCap, HandednessScore, BMI_W1",434,456,-0.0069124423963133645
"EduYrsEstCap, EduComp, Sex",7,453,0.0
"EduYrsEstCap, EduComp, Ethnicity",12,453,0.0
"EduYrsEstCap, EduComp, Height_W1",83,453,0.0
"EduYrsEstCap, EduComp, AgeMRI_W1",196,422,0.15816326530612246
"EduYrsEstCap, EduComp, Weight_W1",194,453,0.0
"EduYrsEstCap, EduComp, BMI_W1",385,453,0.0
"EduYrsEstCap, Sex, Ethnicity",11,453,0.0
"EduYrsEstCap, Sex, Height_W1",82,453,0.0
"EduYrsEstCap, Sex, AgeMRI_W1",249,431,0.08835341365461848
"EduYrsEstCap, Sex, Weight_W1",222,453,0.0
"EduYrsEstCap, Sex, BMI_W1",396,453,0.0
"EduYrsEstCap, Ethnicity, Height_W1",80,453,0.0
"EduYrsEstCap, Ethnicity, AgeMRI_W1",196,435,0.09183673469387756
"EduYrsEstCap, Ethnicity, Weight_W1",184,453,0.0
"EduYrsEstCap, Ethnicity, BMI_W1",385,453,0.0
"EduYrsEstCap, Height_W1, AgeMRI_W1",432,435,0.041666666666666664
"EduYrsEstCap, Height_W1, Weight_W1",385,453,0.0
"EduYrsEstCap, Height_W1, BMI_W1",385,451,0.005194805194805195
"EduYrsEstCap, AgeMRI_W1, Weight_W1",450,435,0.04
"EduYrsEstCap, AgeMRI_W1, BMI_W1",456,435,0.039473684210526314
"EduYrsEstCap, Weight_W1, BMI_W1",385,449,0.01038961038961039
"HandednessScore, EduComp, Sex",59,456,-0.05084745762711865
"HandednessScore, EduComp, Ethnicity",46,456,-0.06521739130434782
"HandednessScore, EduComp, Height_W1",243,456,-0.012345679012345678
"HandednessScore, EduComp, AgeMRI_W1",357,411,0.11764705882352941
"HandednessScore, EduComp, Weight_W1",337,456,-0.008902077151335312
"HandednessScore, EduComp, BMI_W1",425,456,-0.007058823529411765
"HandednessScore, Sex, Ethnicity",21,456,-0.14285714285714285
"HandednessScore, Sex, Height_W1",119,456,-0.025210084033613446
"HandednessScore, Sex, AgeMRI_W1",280,405,0.17142857142857143
"HandednessScore, Sex, Weight_W1",262,456,-0.011450381679389313
"HandednessScore, Sex, BMI_W1",413,456,-0.007263922518159807
"HandednessScore, Ethnicity, Height_W1",106,456,-0.02830188679245283
"HandednessScore, Ethnicity, AgeMRI_W1",235,413,0.1702127659574468
"HandednessScore, Ethnicity, Weight_W1",222,456,-0.013513513513513514
"HandednessScore, Ethnicity, BMI_W1",406,456,-0.007389162561576354
"HandednessScore, Height_W1, AgeMRI_W1",423,413,0.09456264775413711
"HandednessScore, Height_W1, Weight_W1",408,456,-0.007352941176470588
"HandednessScore, Height_W1, BMI_W1",408,454,-0.0024509803921568627
"HandednessScore, AgeMRI_W1, Weight_W1",443,413,0.09029345372460497
"HandednessScore, AgeMRI_W1, BMI_W1",453,413,0.08830022075055188
"HandednessScore, Weight_W1, BMI_W1",408,448,0.012254901960784314
"EduComp, Sex, Ethnicity",4,453,0.0
"EduComp, Sex, Height_W1",52,453,0.0
"EduComp, Sex, AgeMRI_W1",208,439,0.0673076923076923
"EduComp, Sex, Weight_W1",190,453,0.0
"EduComp, Sex, BMI_W1",368,453,0.0
"EduComp, Ethnicity, Height_W1",44,453,0.0
"EduComp, Ethnicity, AgeMRI_W1",149,443,0.06711409395973154
"EduComp, Ethnicity, Weight_W1",159,453,0.0
"EduComp, Ethnicity, BMI_W1",359,453,0.0
"EduComp, Height_W1, AgeMRI_W1",423,443,0.02364066193853428
"EduComp, Height_W1, Weight_W1",357,453,0.0
"EduComp, Height_W1, BMI_W1",357,453,0.0
"EduComp, AgeMRI_W1, Weight_W1",444,443,0.02252252252252252
"EduComp, AgeMRI_W1, BMI_W1",456,443,0.021929824561403508
"EduComp, Weight_W1, BMI_W1",357,449,0.011204481792717087
"Sex, Ethnicity, Height_W1",16,453,0.0
"Sex, Ethnicity, AgeMRI_W1",42,439,0.3333333333333333
"Sex, Ethnicity, Weight_W1",78,453,0.0
"Sex, Ethnicity, BMI_W1",262,453,0.0
"Sex, Height_W1, AgeMRI_W1",304,439,0.046052631578947366
"Sex, Height_W1, Weight_W1",260,453,0.0
"Sex, Height_W1, BMI_W1",260,453,0.0
"Sex, AgeMRI_W1, Weight_W1",422,439,0.03317535545023697
"Sex, AgeMRI_W1, BMI_W1",448,439,0.03125
"Sex, Weight_W1, BMI_W1",260,449,0.015384615384615385
"Ethnicity, Height_W1, AgeMRI_W1",294,443,0.034013605442176874
"Ethnicity, Height_W1, Weight_W1",255,453,0.0
"Ethnicity, Height_W1, BMI_W1",255,453,0.0
"Ethnicity, AgeMRI_W1, Weight_W1",405,443,0.024691358024691357
"Ethnicity, AgeMRI_W1, BMI_W1",450,443,0.022222222222222223
"Ethnicity, Weight_W1, BMI_W1",255,449,0.01568627450980392
"Height_W1, AgeMRI_W1, Weight_W1",448,443,0.022321428571428572
