Column,Unique Rows After Removal,Difference in Unique Rows,Normalized Difference
MMSE_W3,464,0,0.0
MMSE_W2,464,0,0.0
MMSE_W1,464,0,0.0
Height_W2,464,0,0.0
AgePETTau_W2,464,0,0.0
BMI_W1,462,2,0.0
BMI_W2,464,0,0.0
CogW1toW3,464,0,0.0
CogW2toW3,464,0,0.0
MRIW1toW3,464,0,0.0
MRIW2toW3,464,0,0.0
CogW1toW2,464,0,0.0
MRIW1toW2,464,0,0.0
Weight_W1,464,0,0.0
PETAmyW1toW2,464,0,0.0
Weight_W2,464,0,0.0
AgeMRI_W1,464,0,0.0
AgeMRI_W2,464,0,0.0
AgeCog_W2,464,0,0.0
PETAmyW2toW3,464,0,0.0
PETAmyW1toW3,464,0,0.0
AgeCog_W3,464,0,0.0
AgeMRI_W3,464,0,0.0
AgePETAmy_W1,464,0,0.0
AgePETTau_W3,464,0,0.0
AgePETAmy_W2,464,0,0.0
AgePETAmy_W3,464,0,0.0
