Combination,Unique Rows,Unique Rows Excluding Columns,Score
"male, Race, parent2_edu",12,48,0.16666666666666666
"male, Race, parent1_edu",13,40,0.7692307692307693
"male, Race, age_scan",20,25,1.25
"male, Race, income_median",21,49,0.047619047619047616
"male, Race, income_rank",22,48,0.09090909090909091
"male, parent2_edu, parent1_edu",18,38,0.6666666666666666
"male, parent2_edu, age_scan",21,23,1.2857142857142858
"male, parent2_edu, income_median",13,59,-0.6923076923076923
"male, parent2_edu, income_rank",14,58,-0.5714285714285714
"male, parent1_edu, age_scan",23,17,1.434782608695652
"male, parent1_edu, income_median",15,47,0.2
"male, parent1_edu, income_rank",16,46,0.25
"male, age_scan, income_median",32,34,0.5
"male, age_scan, income_rank",33,33,0.5151515151515151
"male, income_median, income_rank",8,48,0.25
"Race, parent2_edu, parent1_edu",21,32,0.8571428571428571
"Race, parent2_edu, age_scan",29,15,1.206896551724138
"Race, parent2_edu, income_median",17,51,-0.058823529411764705
"Race, parent2_edu, income_rank",18,50,0.0
"Race, parent1_edu, age_scan",36,13,1.0277777777777777
"Race, parent1_edu, income_median",23,46,0.17391304347826086
"Race, parent1_edu, income_rank",24,45,0.20833333333333334
"Race, age_scan, income_median",38,28,0.5789473684210527
"Race, age_scan, income_rank",39,27,0.5897435897435898
"Race, income_median, income_rank",13,45,0.38461538461538464
"parent2_edu, parent1_edu, age_scan",41,21,0.7073170731707317
"parent2_edu, parent1_edu, income_median",25,45,0.2
"parent2_edu, parent1_edu, income_rank",26,44,0.23076923076923078
"parent2_edu, age_scan, income_median",40,34,0.4
"parent2_edu, age_scan, income_rank",41,33,0.4146341463414634
"parent2_edu, income_median, income_rank",7,44,0.8571428571428571
"parent1_edu, age_scan, income_median",48,26,0.5
"parent1_edu, age_scan, income_rank",49,25,0.5102040816326531
"parent1_edu, income_median, income_rank",4,36,3.5
"age_scan, income_median, income_rank",22,27,1.0454545454545454
"male, Race, parent2_edu, parent1_edu",27,22,1.037037037037037
"male, Race, parent2_edu, age_scan",36,4,1.2777777777777777
"male, Race, parent2_edu, income_median",25,49,0.04
"male, Race, parent2_edu, income_rank",26,48,0.07692307692307693
"male, Race, parent1_edu, age_scan",44,7,0.9772727272727273
"male, Race, parent1_edu, income_median",33,41,0.2727272727272727
"male, Race, parent1_edu, income_rank",34,40,0.29411764705882354
"male, Race, age_scan, income_median",44,26,0.5454545454545454
"male, Race, age_scan, income_rank",45,25,0.5555555555555556
"male, Race, income_median, income_rank",21,41,0.42857142857142855
"male, parent2_edu, parent1_edu, age_scan",45,13,0.8222222222222222
"male, parent2_edu, parent1_edu, income_median",27,39,0.4074074074074074
"male, parent2_edu, parent1_edu, income_rank",28,38,0.42857142857142855
"male, parent2_edu, age_scan, income_median",45,24,0.5777777777777777
"male, parent2_edu, age_scan, income_rank",46,23,0.5869565217391305
"male, parent2_edu, income_median, income_rank",13,36,1.0769230769230769
"male, parent1_edu, age_scan, income_median",50,18,0.64
"male, parent1_edu, age_scan, income_rank",51,17,0.6470588235294118
"male, parent1_edu, income_median, income_rank",15,29,1.4
"male, age_scan, income_median, income_rank",32,21,0.90625
"Race, parent2_edu, parent1_edu, age_scan",48,8,0.875
"Race, parent2_edu, parent1_edu, income_median",33,33,0.5151515151515151
"Race, parent2_edu, parent1_edu, income_rank",34,32,0.5294117647058824
"Race, parent2_edu, age_scan, income_median",46,16,0.7391304347826086
"Race, parent2_edu, age_scan, income_rank",47,15,0.7446808510638298
