male,Race,parent2_edu,parent1_edu,age_scan,income_median,income_rank,dis-score,score
0,2,16.0,16.0,8,200000.0,10.0,0.9109,360.0
1,1,12.0,12.0,6,,11.0,0.959,792.0
0,1,12.0,12.0,9,,,0.7183,96.0
0,1,,16.0,7,62500.0,6.0,0.7961,144.0
1,1,,14.0,9,8500.0,1.0,0.9325,480.0
1,2,20.0,20.0,7,,,0.8979,312.0
0,1,,12.0,9,14000.0,2.0,0.9549,720.0
0,1,10.0,16.0,9,8500.0,1.0,0.9736,1224.0
0,2,14.0,14.0,10,125000.0,8.0,0.972,1152.0
1,0,,18.0,8,87500.0,7.0,0.9109,360.0
1,0,,18.0,9,87500.0,7.0,0.8899,288.0
1,1,14.0,12.0,8,42500.0,5.0,0.9436,576.0
0,4,,12.0,4,2500.0,0.0,0.9613,840.0
1,1,12.0,12.0,7,2500.0,0.0,0.9686,1032.0
0,4,12.0,10.0,4,42500.0,5.0,0.9325,480.0
0,4,12.0,10.0,7,42500.0,5.0,0.9162,384.0
1,2,16.0,16.0,6,200000.0,10.0,0.7633,120.0
0,1,14.0,16.0,6,62500.0,6.0,0.9252,432.0
0,1,14.0,16.0,8,62500.0,6.0,0.8408,192.0
1,4,12.0,18.0,5,87500.0,7.0,0.9252,432.0
0,4,20.0,20.0,7,200000.0,10.0,0.7961,144.0
0,3,16.0,16.0,4,200000.0,10.0,0.9731,1200.0
1,4,16.0,16.0,6,200000.0,10.0,0.6534,72.0
1,2,12.0,14.0,8,30000.0,4.0,0.9048,336.0
1,2,12.0,14.0,6,30000.0,4.0,0.9109,360.0
1,4,16.0,20.0,5,200000.0,10.0,0.9048,336.0
1,1,14.0,16.0,9,42500.0,5.0,0.8806,264.0
1,1,14.0,14.0,9,,,0.6534,72.0
0,2,20.0,18.0,5,175000.0,9.0,0.9707,1104.0
1,2,18.0,18.0,5,200000.0,10.0,0.9252,432.0
1,4,20.0,16.0,10,200000.0,10.0,0.8567,216.0
0,0,20.0,20.0,10,200000.0,10.0,0.959,792.0
1,4,16.0,16.0,11,87500.0,7.0,0.8408,192.0
1,2,16.0,16.0,10,175000.0,9.0,0.9325,480.0
1,4,,16.0,10,,,0.0,0.0
1,4,12.0,12.0,10,87500.0,7.0,0.9325,480.0
1,2,,16.0,11,87500.0,7.0,0.9109,360.0
1,4,16.0,16.0,11,200000.0,10.0,0.7183,96.0
1,4,16.0,16.0,8,175000.0,9.0,0.7961,144.0
0,4,20.0,12.0,9,200000.0,10.0,0.8697,240.0
1,4,20.0,18.0,9,200000.0,10.0,0.7633,120.0
1,4,12.0,16.0,9,42500.0,5.0,0.8979,312.0
1,4,18.0,20.0,11,200000.0,10.0,0.9109,360.0
1,4,16.0,12.0,10,200000.0,10.0,0.8806,264.0
1,4,,10.0,10,,,0.8697,240.0
1,4,16.0,20.0,9,175000.0,9.0,0.8899,288.0
1,4,16.0,14.0,8,,,0.7961,144.0
1,4,12.0,18.0,8,125000.0,8.0,0.9252,432.0
1,4,16.0,16.0,9,200000.0,10.0,0.7633,120.0
0,0,12.0,14.0,9,125000.0,8.0,0.9644,912.0
1,4,18.0,18.0,8,200000.0,10.0,0.0,0.0
0,4,20.0,20.0,9,200000.0,10.0,0.7183,96.0
1,4,12.0,14.0,7,30000.0,4.0,0.9484,630.0
1,1,20.0,18.0,7,200000.0,10.0,0.9459,600.0
1,4,16.0,18.0,9,175000.0,9.0,0.8211,168.0
1,4,16.0,16.0,8,125000.0,8.0,0.0,0.0
1,1,12.0,,7,87500.0,7.0,0.8899,288.0
1,4,18.0,18.0,7,87500.0,7.0,0.8491,204.0
1,2,12.0,12.0,6,42500.0,5.0,0.9499,648.0
1,4,16.0,16.0,8,125000.0,8.0,0.0,0.0
1,4,,12.0,6,14000.0,2.0,0.9563,744.0
0,4,16.0,16.0,8,62500.0,6.0,0.9109,360.0
1,4,18.0,18.0,8,200000.0,10.0,0.0,0.0
0,4,18.0,18.0,6,87500.0,7.0,0.9357,504.0
0,4,16.0,12.0,7,87500.0,7.0,0.9162,384.0
1,4,16.0,16.0,7,125000.0,8.0,0.8806,264.0
0,4,16.0,16.0,7,200000.0,10.0,0.7809,132.0
1,4,12.0,16.0,6,87500.0,7.0,0.8697,240.0
1,4,18.0,18.0,8,175000.0,9.0,0.8899,288.0
1,4,18.0,16.0,7,62500.0,6.0,0.9499,648.0
