age,highest_education,income,race,ethnicity,sex,dis-score,score
17.981,2.0,7.0,5,0,0,0.4992,8.0
15.945,1.0,7.0,2,0,0,0.7694,24.0
16.142,1.0,9.0,5,0,0,0.0,0.0
14.866,5.0,7.0,2,0,1,0.9488,114.0
17.332,1.0,8.0,5,0,0,0.0,0.0
15.348,1.0,9.0,5,0,1,0.0,0.0
17.34,2.0,8.0,5,0,1,0.0,0.0
13.644,1.0,8.0,5,0,1,0.0,0.0
15.521,3.0,7.0,2,0,1,0.8304,34.0
13.255,1.0,8.0,3,0,1,0.1782,2.0
14.816,1.0,8.0,-1,0,0,0.8208,32.0
13.616,3.0,7.0,5,1,1,0.8469,38.0
17.915,2.0,8.0,1,0,1,0.7694,24.0
16.934,1.0,9.0,5,1,0,0.0,0.0
16.436,,,1,0,0,0.7694,24.0
13.0,,,1,0,0,0.7694,24.0
17.186,2.0,5.0,1,0,0,0.9346,90.0
11.521,3.0,8.0,1,0,0,0.8774,48.0
17.644,1.0,8.0,5,1,1,0.6812,16.0
10.197,3.0,7.0,2,0,0,0.8469,38.0
11.986,1.0,9.0,5,0,1,0.0,0.0
14.301,1.0,8.0,5,0,1,0.0,0.0
14.384,,,5,1,0,0.0,0.0
13.036,,,5,1,1,0.0,0.0
12.416,1.0,9.0,0,1,0,0.7086,18.0
12.816,1.0,9.0,0,1,1,0.7086,18.0
11.438,,,3,0,0,0.0,0.0
9.214,1.0,8.0,5,0,0,0.0,0.0
17.326,,,5,0,1,0.0,0.0
16.767,,,3,0,1,0.4207,6.0
13.622,,,3,0,0,0.0,0.0
16.795,2.0,4.0,3,0,0,0.8304,34.0
11.633,2.0,4.0,3,0,0,0.7847,26.0
13.83,1.0,8.0,5,0,1,0.0,0.0
9.353,1.0,9.0,3,1,1,0.7086,18.0
9.471,1.0,9.0,5,0,0,0.4992,8.0
9.877,3.0,3.0,3,1,0,0.9587,140.0
17.732,1.0,9.0,0,0,0,0.839,36.0
17.373,2.0,8.0,5,0,1,0.0,0.0
14.17,1.0,8.0,5,0,0,0.0,0.0
12.814,1.0,9.0,5,0,1,0.0,0.0
8.433,1.0,9.0,3,1,1,0.839,36.0
13.0,1.0,9.0,5,0,0,0.0,0.0
12.137,,,3,0,0,0.0,0.0
13.321,1.0,9.0,3,0,0,0.0,0.0
17.874,1.0,8.0,5,0,0,0.0,0.0
11.348,2.0,7.0,5,0,0,0.7086,18.0
11.181,1.0,9.0,5,1,0,0.7847,26.0
14.77,1.0,9.0,2,0,1,0.4992,8.0
11.953,1.0,8.0,5,0,0,0.2531,3.0
12.679,1.0,8.0,5,0,0,0.1782,2.0
14.729,1.0,8.0,5,0,0,0.0,0.0
16.701,2.0,8.0,-1,2,0,0.9262,80.0
13.512,1.0,9.0,5,0,0,0.0,0.0
8.732,1.0,8.0,5,0,1,0.0,0.0
16.97,1.0,9.0,5,0,1,0.0,0.0
11.241,1.0,9.0,5,0,1,0.0,0.0
14.364,1.0,9.0,5,0,1,0.0,0.0
15.652,1.0,7.0,5,0,1,0.0,0.0
17.789,1.0,7.0,5,0,0,0.4992,8.0
14.838,6.0,8.0,5,0,1,0.9515,120.0
12.605,2.0,7.0,5,0,0,0.4992,8.0
8.94,1.0,8.0,2,0,1,0.4207,6.0
10.06,7.0,9.0,-1,2,1,0.9488,114.0
16.592,,,3,1,0,0.4207,6.0
14.016,1.0,8.0,5,0,0,0.0,0.0
11.677,1.0,8.0,3,0,1,0.3174,4.0
9.866,1.0,8.0,5,0,1,0.0,0.0
9.307,1.0,8.0,5,0,0,0.0,0.0
10.268,1.0,8.0,5,0,0,0.0,0.0
