Combination,Unique Rows,Unique Rows Excluding Columns,Score
"age_at_visit, LANGUAGE, OTHER_LANGUAGE",695,797,1.3827338129496403
"age_at_visit, LANGUAGE, INCOME",513,938,1.5984405458089668
"age_at_visit, LANGUAGE, RACE_1",323,1128,1.9504643962848298
"age_at_visit, LANGUAGE, CURRENT_GENDER",259,1251,1.9575289575289576
"age_at_visit, LANGUAGE, MARITAL_STATUS",326,1117,1.9662576687116564
"age_at_visit, LANGUAGE, EDUCATION",348,1099,1.8936781609195403
"age_at_visit, LANGUAGE, EMPLOYMENT",331,1092,2.012084592145015
"age_at_visit, LANGUAGE, LGBT_IDENTITY",286,1155,2.1083916083916083
"age_at_visit, LANGUAGE, ETHNICITY_1",231,1220,2.329004329004329
"age_at_visit, LANGUAGE, GENDER",243,1253,2.078189300411523
"age_at_visit, OTHER_LANGUAGE, INCOME",975,643,1.1435897435897435
"age_at_visit, OTHER_LANGUAGE, RACE_1",692,804,1.3786127167630058
"age_at_visit, OTHER_LANGUAGE, CURRENT_GENDER",664,969,1.1882530120481927
"age_at_visit, OTHER_LANGUAGE, MARITAL_STATUS",709,817,1.3272214386459802
"age_at_visit, OTHER_LANGUAGE, EDUCATION",745,784,1.3073825503355705
"age_at_visit, OTHER_LANGUAGE, EMPLOYMENT",737,777,1.3310719131614654
"age_at_visit, OTHER_LANGUAGE, LGBT_IDENTITY",686,863,1.30466472303207
"age_at_visit, OTHER_LANGUAGE, ETHNICITY_1",633,917,1.3285939968404423
"age_at_visit, OTHER_LANGUAGE, GENDER",658,976,1.1884498480243162
"age_at_visit, INCOME, RACE_1",507,935,1.6232741617357003
"age_at_visit, INCOME, CURRENT_GENDER",361,1048,1.9667590027700832
"age_at_visit, INCOME, MARITAL_STATUS",477,884,1.8322851153039832
"age_at_visit, INCOME, EDUCATION",477,888,1.8238993710691824
"age_at_visit, INCOME, EMPLOYMENT",489,873,1.8098159509202454
"age_at_visit, INCOME, LGBT_IDENTITY",390,943,2.08974358974359
"age_at_visit, INCOME, ETHNICITY_1",305,1007,2.462295081967213
"age_at_visit, INCOME, GENDER",338,1052,2.088757396449704
"age_at_visit, RACE_1, CURRENT_GENDER",173,1241,2.9884393063583814
"age_at_visit, RACE_1, MARITAL_STATUS",221,1126,2.8597285067873304
"age_at_visit, RACE_1, EDUCATION",279,1111,2.3189964157706093
"age_at_visit, RACE_1, EMPLOYMENT",229,1061,3.0436681222707422
"age_at_visit, RACE_1, LGBT_IDENTITY",209,1154,2.889952153110048
"age_at_visit, RACE_1, ETHNICITY_1",165,1198,3.393939393939394
"age_at_visit, RACE_1, GENDER",153,1243,3.366013071895425
"age_at_visit, CURRENT_GENDER, MARITAL_STATUS",149,1234,3.5167785234899327
"age_at_visit, CURRENT_GENDER, EDUCATION",167,1219,3.2275449101796405
"age_at_visit, CURRENT_GENDER, EMPLOYMENT",166,1179,3.4879518072289155
"age_at_visit, CURRENT_GENDER, LGBT_IDENTITY",169,1257,2.964497041420118
"age_at_visit, CURRENT_GENDER, ETHNICITY_1",106,1301,4.311320754716981
"age_at_visit, CURRENT_GENDER, GENDER",48,1232,10.958333333333334
"age_at_visit, MARITAL_STATUS, EDUCATION",253,1084,2.66403162055336
"age_at_visit, MARITAL_STATUS, EMPLOYMENT",247,1039,2.9109311740890687
"age_at_visit, MARITAL_STATUS, LGBT_IDENTITY",202,1147,3.0247524752475248
"age_at_visit, MARITAL_STATUS, ETHNICITY_1",150,1196,3.7466666666666666
"age_at_visit, MARITAL_STATUS, GENDER",133,1238,3.9097744360902253
"age_at_visit, EDUCATION, EMPLOYMENT",272,1025,2.6948529411764706
"age_at_visit, EDUCATION, LGBT_IDENTITY",221,1137,2.8099547511312215
"age_at_visit, EDUCATION, ETHNICITY_1",158,1185,3.6265822784810124
"age_at_visit, EDUCATION, GENDER",156,1222,3.4358974358974357
"age_at_visit, EMPLOYMENT, LGBT_IDENTITY",186,1085,3.618279569892473
"age_at_visit, EMPLOYMENT, ETHNICITY_1",131,1144,4.687022900763359
"age_at_visit, EMPLOYMENT, GENDER",144,1180,4.013888888888889
"age_at_visit, LGBT_IDENTITY, ETHNICITY_1",142,1223,3.767605633802817
"age_at_visit, LGBT_IDENTITY, GENDER",151,1264,3.271523178807947
"age_at_visit, ETHNICITY_1, GENDER",90,1303,5.055555555555555
"LANGUAGE, OTHER_LANGUAGE, INCOME",450,1214,1.208888888888889
"LANGUAGE, OTHER_LANGUAGE, RACE_1",332,1441,0.9548192771084337
"LANGUAGE, OTHER_LANGUAGE, CURRENT_GENDER",330,1565,0.5848484848484848
"LANGUAGE, OTHER_LANGUAGE, MARITAL_STATUS",361,1462,0.8199445983379502
"LANGUAGE, OTHER_LANGUAGE, EDUCATION",363,1420,0.931129476584022
"LANGUAGE, OTHER_LANGUAGE, EMPLOYMENT",378,1444,0.8306878306878307
