LANGUAGE,INCOME,CURRENT_GENDER,RACE_1,MARITAL_STATUS,EDUCATION,EMPLOYMENT,LGBT_IDENTITY,ETHNICITY_1,GENDER,OTHER_LANGUAGE,dis-score,score
13,9.0,1.0,2.0,3,3.0,2.0,0.0,0.0,2.0,-999.0,0.819,7200.0
13,5.0,0.0,2.0,3,3.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,9.0,1.0,5.0,1,3.0,4.0,0.0,0.0,2.0,-999.0,0.8409,8640.0
13,6.0,1.0,6.0,3,3.0,0.0,0.0,1.0,2.0,-999.0,0.0,0.0
13,5.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,6.0,0.0,5.0,1,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
13,5.0,1.0,2.0,3,4.0,2.0,0.0,0.0,2.0,1.0,0.9357,28464.0
13,4.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,6.0,0.0,5.0,3,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
13,-999.0,1.0,4.0,0,2.0,4.0,0.0,-999.0,2.0,-999.0,0.9928,403200.0
13,8.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,8.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,6.0,1.0,4.0,1,3.0,1.0,0.0,0.0,2.0,-999.0,0.7456,4320.0
13,7.0,0.0,5.0,1,4.0,0.0,2.0,0.0,1.0,-999.0,0.0,0.0
13,5.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,6.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,7.0,1.0,5.0,3,4.0,0.0,-999.0,0.0,2.0,-999.0,0.0,0.0
35,8.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,0.0,0.9957,736080.0
13,5.0,0.0,2.0,3,3.0,0.0,-999.0,-999.0,1.0,1.0,0.0,0.0
13,8.0,0.0,5.0,1,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
47,7.0,0.0,5.0,3,4.0,0.0,0.0,0.0,1.0,0.0,0.998,1835280.0
13,9.0,1.0,4.0,3,4.0,0.0,0.0,0.0,2.0,1.0,0.4494,960.0
13,5.0,1.0,6.0,1,3.0,0.0,-999.0,1.0,2.0,1.0,0.7949,6000.0
13,6.0,1.0,6.0,1,3.0,0.0,0.0,1.0,2.0,1.0,0.7262,3840.0
13,7.0,1.0,6.0,3,4.0,0.0,0.0,1.0,2.0,1.0,0.7456,4320.0
13,5.0,0.0,4.0,3,0.0,0.0,-999.0,0.0,1.0,-999.0,0.8576,10080.0
13,6.0,0.0,5.0,3,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,10.0,1.0,5.0,1,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,6.0,1.0,5.0,1,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,6.0,0.0,5.0,3,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
40,8.0,1.0,5.0,1,3.0,0.0,0.0,1.0,2.0,0.0,0.9313,26160.0
13,5.0,1.0,4.0,0,4.0,0.0,1.0,0.0,2.0,1.0,0.9924,378000.0
13,6.0,1.0,4.0,3,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,5.0,1.0,5.0,3,4.0,2.0,0.0,1.0,2.0,1.0,0.9074,17880.0
13,8.0,0.0,5.0,1,3.0,3.0,0.0,0.0,1.0,1.0,0.0601,48.0
13,8.0,0.0,5.0,1,4.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,7.0,0.0,5.0,1,4.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,8.0,0.0,5.0,3,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
40,5.0,1.0,5.0,3,3.0,2.0,0.0,1.0,2.0,0.0,0.991,308160.0
13,5.0,1.0,4.0,3,1.0,2.0,0.0,0.0,2.0,1.0,0.9514,40320.0
13,5.0,1.0,4.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,1.0,0.0,4.0,3,2.0,4.0,0.0,0.0,1.0,-999.0,0.9816,131040.0
13,8.0,1.0,6.0,3,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,6.0,1.0,5.0,3,4.0,0.0,2.0,0.0,2.0,-999.0,0.0,0.0
13,8.0,0.0,5.0,1,4.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,9.0,1.0,5.0,1,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,5.0,1.0,2.0,3,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,5.0,0.0,5.0,3,3.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,6.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,4.0,0.0,5.0,3,3.0,2.0,0.0,0.0,1.0,-999.0,0.4215,840.0
13,8.0,1.0,5.0,1,3.0,1.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,8.0,0.0,5.0,1,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,8.0,1.0,3.0,1,4.0,0.0,0.0,1.0,2.0,1.0,0.9989,3628800.0
